text,label
"Congratulations! We are excited to have you join Oza, Jain and Sanghvi. Please bring your PAN card and Aadhar card for verification. We do not charge any money for recruitment. Your laptop will be handed over on the first day. The joining location is our Bangalore campus. Please sign the attached offer letter via DocuSign. Medical insurance is covered by the company.",0
"Your QC report shows 80% accuracy only. You have failed the project terms. Pay ₹4,500 for server maintenance or we will take legal action. Our legal team will send a notice to your home address. Breach of contract penalty applies. Pay immediately to close your file.",1
Congratulations! We are excited to have you join Ahluwalia Group. Please bring your PAN card and Aadhar card for verification. We do not charge any money for recruitment. Your laptop will be handed over on the first day. The joining location is our Bangalore campus. Please sign the attached offer letter via DocuSign. Medical insurance is covered by the company.,0
"Thank you for your interest in the {fake.job()} role. Unfortunately, we have decided to move forward with other candidates. We will keep your CV in our database for future roles. Best of luck with your job search.",0
"Dear Candidate, we are pleased to offer you the position of Glass blower/designer at Khanna, Chowdhury and Khatri. Your annual CTC will be 10 LPA. Reporting time: 9:00 AM, Monday. Mandatory: Pay a refundable security deposit of ₹2,500 for the company laptop. This amount will be refunded in your first salary. Kindly transfer via UPI to the HR manager for asset allocation. Note: Uniform charges of ₹999 are applicable for new joiners.",1
"Your QC report shows 80% accuracy only. You have failed the project terms. Pay ₹4,500 for server maintenance or we will take legal action. Our legal team will send a notice to your home address. Breach of contract penalty applies. Pay immediately to close your file.",1
"Thank you for your interest in the {fake.job()} role. Unfortunately, we have decided to move forward with other candidates. We will keep your CV in our database for future roles. Best of luck with your job search.",0
Congratulations! We are excited to have you join Hegde Inc. Please bring your PAN card and Aadhar card for verification. We do not charge any money for recruitment. Your laptop will be handed over on the first day. The joining location is our Bangalore campus. Please sign the attached offer letter via DocuSign. Medical insurance is covered by the company.,0
Congratulations! We are excited to have you join Dash-Kuruvilla. Please bring your PAN card and Aadhar card for verification. We do not charge any money for recruitment. Your laptop will be handed over on the first day. The joining location is our Bangalore campus. Please sign the attached offer letter via DocuSign. Medical insurance is covered by the company.,0
"Welcome to the Merchant Optimization Platform. Task 1/3 complete. Your wallet balance is ₹450. To withdraw, you must complete the Premium Task. Recharge your wallet with ₹1000 to unlock high commission. Your account is frozen due to low score. Pay tax of 18% to release your frozen funds. Don't worry, this is a trusted prepaid merchant task.",1
"Welcome to the Merchant Optimization Platform. Task 1/3 complete. Your wallet balance is ₹450. To withdraw, you must complete the Premium Task. Recharge your wallet with ₹1000 to unlock high commission. Your account is frozen due to low score. Pay tax of 18% to release your frozen funds. Don't worry, this is a trusted prepaid merchant task.",1
"Thank you for your interest in the {fake.job()} role. Unfortunately, we have decided to move forward with other candidates. We will keep your CV in our database for future roles. Best of luck with your job search.",0
