text,label
Your Zomato order is picked up.,0
Your order #7581 has been delivered. Your Zomato order is picked up.,0
"Dear Customer, your VISA 16 digit account is blocked.",1
"Hello dear, do you want part time job? Contact via WhatsApp.",1
"Hello dear, do you want part time job? Hiring for back office. Send 500rs for ID card generation.",1
"Hey, are we meeting today?",0
Your Zomato order is picked up. Amazon: Your package is out for delivery with agent Ravi.,0
IndiaPost: Your package delivery failed. Reschedule here. Customs duty pending. Click link to pay: http://bit.ly/23,1
Your SBI points will expire today. Redeem now at http://fake-bank.com,1
"No interview required. Direct joining. Just pay registration fee. Hello dear, do you want part time job?",1
Your order #2128 has been delivered.,0
The meeting link is on Google Meet.,0
Electricity bill unpaid. Power will be cut tonight. Call this number. PAN Card update required. Click link to verify KYC. Contact via WhatsApp.,1
Happy birthday! Have a great year ahead.,0
The meeting link is on Google Meet.,0
The meeting link is on Google Meet. Happy birthday! Have a great year ahead.,0
Your SBI points will expire today. Redeem now at http://fake-bank.com PAN Card update required. Click link to verify KYC.,1
PAN Card update required. Click link to verify KYC. Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Your parcel is on hold. Pay 490rs to release.,1
IndiaPost: Your package delivery failed. Reschedule here.,1
Customs duty pending. Click link to pay: www.bpoint.com.au Contact via WhatsApp.,1
Your parcel is on hold. Pay 110rs to release.,1
Your SBI points will expire today. Redeem now at http://fake-bank.com Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Amazon: Your package is out for delivery with agent Ravi. Your order #3086 has been delivered.,0
Amazon: Your package is out for delivery with agent Ravi. Flipkart: Refund of 500rs processed to your source account.,0
The meeting link is on Google Meet. Happy birthday! Have a great year ahead.,0
Your parcel is on hold. Pay 421rs to release. Contact via WhatsApp.,1
"Hello dear, do you want part time job?",1
"Hello dear, do you want part time job?",1
Flipkart: Refund of 500rs processed to your source account.,0
Your parcel is on hold. Pay 381rs to release. Contact via WhatsApp.,1
Your SBI points will expire today. Redeem now at http://fake-bank.com Contact via WhatsApp.,1
Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Flipkart: Refund of 500rs processed to your source account.,0
Can you call me when you are free?,0
Earn 3000-5000 daily by liking YouTube videos. Contact via WhatsApp.,1
Your order #4053 has been delivered. OTP for delivery is 4567. Do not share with anyone.,0
Your order #1090 has been delivered.,0
Amazon: Your package is out for delivery with agent Ravi. Your order #3435 has been delivered.,0
Flipkart: Refund of 500rs processed to your source account. Amazon: Your package is out for delivery with agent Ravi.,0
BlueDart: Address incomplete. Update here or parcel will be returned.,1
"Please send the files by evening. Hey, are we meeting today?",0
FedEx: Shipment #5844 requires urgent Duty and Taxes payment. Your parcel is on hold. Pay 323rs to release.,1
IndiaPost: Your package delivery failed. Reschedule here. Contact via WhatsApp.,1
Can you call me when you are free? The meeting link is on Google Meet.,0
IndiaPost: Your package delivery failed. Reschedule here. Customs duty pending. Click link to pay: delivery-fee.in,1
Please send the files by evening. Can you call me when you are free?,0
Can you call me when you are free? Happy birthday! Have a great year ahead.,0
Customs duty pending. Click link to pay: www.bpoint.com.au,1
"Hey, are we meeting today?",0
The meeting link is on Google Meet. Can you call me when you are free?,0
Amazon: Your package is out for delivery with agent Ravi.,0
"Dear Customer, your Discover account is blocked. Contact via WhatsApp.",1
OTP for delivery is 4567. Do not share with anyone. Your order #5577 has been delivered.,0
"Dear Customer, your VISA 16 digit account is blocked. Your SBI points will expire today. Redeem now at http://fake-bank.com Contact via WhatsApp.",1
"Earn 3000-5000 daily by liking YouTube videos. Hello dear, do you want part time job?",1
OTP for delivery is 4567. Do not share with anyone.,0
BlueDart: Address incomplete. Update here or parcel will be returned.,1
Earn 3000-5000 daily by liking YouTube videos. Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
Can you call me when you are free? Please send the files by evening.,0
IndiaPost: Your package delivery failed. Reschedule here. Customs duty pending. Click link to pay: fedex-customs-pay.com,1
BlueDart: Address incomplete. Update here or parcel will be returned. Your parcel is on hold. Pay 210rs to release. Contact via WhatsApp.,1
BlueDart: Address incomplete. Update here or parcel will be returned. IndiaPost: Your package delivery failed. Reschedule here.,1
Hiring for back office. Send 500rs for ID card generation.,1
PAN Card update required. Click link to verify KYC. Contact via WhatsApp.,1
"PAN Card update required. Click link to verify KYC. Dear Customer, your Diners Club / Carte Blanche account is blocked.",1
Can you call me when you are free? Please send the files by evening.,0
"Hey, are we meeting today? The meeting link is on Google Meet.",0
Happy birthday! Have a great year ahead.,0
Electricity bill unpaid. Power will be cut tonight. Call this number. Your SBI points will expire today. Redeem now at http://fake-bank.com Contact via WhatsApp.,1
Please send the files by evening.,0
OTP for delivery is 4567. Do not share with anyone.,0
Electricity bill unpaid. Power will be cut tonight. Call this number. Contact via WhatsApp.,1
Kindly message me on Telegram for job details.,1
IndiaPost: Your package delivery failed. Reschedule here. Contact via WhatsApp.,1
FedEx: Shipment #7371 requires urgent Duty and Taxes payment.,1
"Hello dear, do you want part time job? Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.",1
Your Zomato order is picked up. Your order #5284 has been delivered.,0
Your order #5725 has been delivered. Flipkart: Refund of 500rs processed to your source account.,0
Your order #2574 has been delivered. Flipkart: Refund of 500rs processed to your source account.,0
"Happy birthday! Have a great year ahead. Hey, are we meeting today?",0
OTP for delivery is 4567. Do not share with anyone. Your order #7010 has been delivered.,0
The meeting link is on Google Meet.,0
Amazon: Your package is out for delivery with agent Ravi. OTP for delivery is 4567. Do not share with anyone.,0
Happy birthday! Have a great year ahead.,0
Customs duty pending. Click link to pay: delivery-fee.in,1
The meeting link is on Google Meet. Happy birthday! Have a great year ahead.,0
Kindly message me on Telegram for job details. Earn 3000-5000 daily by liking YouTube videos.,1
Electricity bill unpaid. Power will be cut tonight. Call this number. PAN Card update required. Click link to verify KYC.,1
Your Zomato order is picked up. Amazon: Your package is out for delivery with agent Ravi.,0
"Hey, are we meeting today?",0
Your SBI points will expire today. Redeem now at http://fake-bank.com,1
Kindly message me on Telegram for job details. Contact via WhatsApp.,1
Flipkart: Refund of 500rs processed to your source account.,0
Can you call me when you are free?,0
"Hey, are we meeting today? The meeting link is on Google Meet.",0
"Hey, are we meeting today? Please send the files by evening.",0
Hiring for back office. Send 500rs for ID card generation.,1
"PAN Card update required. Click link to verify KYC. Dear Customer, your VISA 16 digit account is blocked. Contact via WhatsApp.",1
OTP for delivery is 4567. Do not share with anyone. Flipkart: Refund of 500rs processed to your source account.,0
IndiaPost: Your package delivery failed. Reschedule here.,1
IndiaPost: Your package delivery failed. Reschedule here.,1
Flipkart: Refund of 500rs processed to your source account. Your order #9227 has been delivered.,0
Amazon: Your package is out for delivery with agent Ravi. Flipkart: Refund of 500rs processed to your source account.,0
The meeting link is on Google Meet. Please send the files by evening.,0
Your Zomato order is picked up.,0
Happy birthday! Have a great year ahead. Can you call me when you are free?,0
Your Zomato order is picked up.,0
Can you call me when you are free? The meeting link is on Google Meet.,0
Electricity bill unpaid. Power will be cut tonight. Call this number. PAN Card update required. Click link to verify KYC. Contact via WhatsApp.,1
"Hey, are we meeting today? The meeting link is on Google Meet.",0
Customs duty pending. Click link to pay: http://bit.ly/23 FedEx: Shipment #5775 requires urgent Duty and Taxes payment. Contact via WhatsApp.,1
Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Hiring for back office. Send 500rs for ID card generation. Kindly message me on Telegram for job details.,1
Your SBI points will expire today. Redeem now at http://fake-bank.com PAN Card update required. Click link to verify KYC.,1
Flipkart: Refund of 500rs processed to your source account.,0
No interview required. Direct joining. Just pay registration fee. Contact via WhatsApp.,1
"Hey, are we meeting today?",0
Please send the files by evening. The meeting link is on Google Meet.,0
Customs duty pending. Click link to pay: fedex-customs-pay.com Your parcel is on hold. Pay 372rs to release.,1
"Dear Customer, your Diners Club / Carte Blanche account is blocked.",1
Kindly message me on Telegram for job details. Contact via WhatsApp.,1
Kindly message me on Telegram for job details. Contact via WhatsApp.,1
Please send the files by evening.,0
The meeting link is on Google Meet. Happy birthday! Have a great year ahead.,0
Flipkart: Refund of 500rs processed to your source account. OTP for delivery is 4567. Do not share with anyone.,0
No interview required. Direct joining. Just pay registration fee. Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
"Dear Customer, your VISA 16 digit account is blocked. Contact via WhatsApp.",1
"Electricity bill unpaid. Power will be cut tonight. Call this number. Dear Customer, your VISA 13 digit account is blocked.",1
Your order #9046 has been delivered.,0
"Dear Customer, your Maestro account is blocked. Your SBI points will expire today. Redeem now at http://fake-bank.com",1
Kindly message me on Telegram for job details. Earn 3000-5000 daily by liking YouTube videos.,1
Your Zomato order is picked up. OTP for delivery is 4567. Do not share with anyone.,0
Flipkart: Refund of 500rs processed to your source account.,0
OTP for delivery is 4567. Do not share with anyone.,0
Your Zomato order is picked up. Your order #3634 has been delivered.,0
Flipkart: Refund of 500rs processed to your source account. Your Zomato order is picked up.,0
Electricity bill unpaid. Power will be cut tonight. Call this number. Contact via WhatsApp.,1
IndiaPost: Your package delivery failed. Reschedule here. Customs duty pending. Click link to pay: http://bit.ly/23,1
Happy birthday! Have a great year ahead. Can you call me when you are free?,0
No interview required. Direct joining. Just pay registration fee. Contact via WhatsApp.,1
Hiring for back office. Send 500rs for ID card generation. Earn 3000-5000 daily by liking YouTube videos. Contact via WhatsApp.,1
Your Zomato order is picked up.,0
Your order #3432 has been delivered.,0
The meeting link is on Google Meet.,0
Amazon: Your package is out for delivery with agent Ravi. Flipkart: Refund of 500rs processed to your source account.,0
Happy birthday! Have a great year ahead. Can you call me when you are free?,0
Your SBI points will expire today. Redeem now at http://fake-bank.com,1
Amazon: Your package is out for delivery with agent Ravi. Flipkart: Refund of 500rs processed to your source account.,0
"Hello dear, do you want part time job? Contact via WhatsApp.",1
Can you call me when you are free? Please send the files by evening.,0
"Hey, are we meeting today?",0
Can you call me when you are free?,0
"Hello dear, do you want part time job? No interview required. Direct joining. Just pay registration fee.",1
No interview required. Direct joining. Just pay registration fee. Hiring for back office. Send 500rs for ID card generation.,1
"Hello dear, do you want part time job? Earn 3000-5000 daily by liking YouTube videos.",1
Amazon: Your package is out for delivery with agent Ravi. Your Zomato order is picked up.,0
Can you call me when you are free?,0
Your SBI points will expire today. Redeem now at http://fake-bank.com Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
"PAN Card update required. Click link to verify KYC. Dear Customer, your VISA 16 digit account is blocked.",1
Amazon: Your package is out for delivery with agent Ravi. OTP for delivery is 4567. Do not share with anyone.,0
FedEx: Shipment #7166 requires urgent Duty and Taxes payment. Customs duty pending. Click link to pay: delivery-fee.in,1
Happy birthday! Have a great year ahead.,0
"Hey, are we meeting today?",0
Happy birthday! Have a great year ahead. Can you call me when you are free?,0
FedEx: Shipment #1105 requires urgent Duty and Taxes payment. Your parcel is on hold. Pay 136rs to release.,1
OTP for delivery is 4567. Do not share with anyone. Your order #3782 has been delivered.,0
Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
Hiring for back office. Send 500rs for ID card generation.,1
"Dear Customer, your VISA 13 digit account is blocked.",1
Electricity bill unpaid. Power will be cut tonight. Call this number.,1
Your parcel is on hold. Pay 381rs to release. Customs duty pending. Click link to pay: http://bit.ly/23,1
Your parcel is on hold. Pay 480rs to release. Contact via WhatsApp.,1
IndiaPost: Your package delivery failed. Reschedule here.,1
Can you call me when you are free? Happy birthday! Have a great year ahead.,0
IndiaPost: Your package delivery failed. Reschedule here. Contact via WhatsApp.,1
Your parcel is on hold. Pay 147rs to release. IndiaPost: Your package delivery failed. Reschedule here. Contact via WhatsApp.,1
Happy birthday! Have a great year ahead. The meeting link is on Google Meet.,0
Happy birthday! Have a great year ahead.,0
"Dear Customer, your JCB 16 digit account is blocked. Your SBI points will expire today. Redeem now at http://fake-bank.com",1
Happy birthday! Have a great year ahead.,0
Flipkart: Refund of 500rs processed to your source account. Amazon: Your package is out for delivery with agent Ravi.,0
Happy birthday! Have a great year ahead. Can you call me when you are free?,0
Earn 3000-5000 daily by liking YouTube videos. Contact via WhatsApp.,1
"Dear Customer, your VISA 13 digit account is blocked. PAN Card update required. Click link to verify KYC.",1
Your order #8431 has been delivered.,0
The meeting link is on Google Meet. Please send the files by evening.,0
Can you call me when you are free? The meeting link is on Google Meet.,0
Flipkart: Refund of 500rs processed to your source account. OTP for delivery is 4567. Do not share with anyone.,0
OTP for delivery is 4567. Do not share with anyone.,0
IndiaPost: Your package delivery failed. Reschedule here. Your parcel is on hold. Pay 148rs to release.,1
Your SBI points will expire today. Redeem now at http://fake-bank.com PAN Card update required. Click link to verify KYC.,1
Earn 3000-5000 daily by liking YouTube videos. No interview required. Direct joining. Just pay registration fee.,1
FedEx: Shipment #5751 requires urgent Duty and Taxes payment. Contact via WhatsApp.,1
OTP for delivery is 4567. Do not share with anyone.,0
Flipkart: Refund of 500rs processed to your source account. Your Zomato order is picked up.,0
No interview required. Direct joining. Just pay registration fee. Kindly message me on Telegram for job details.,1
"Hey, are we meeting today?",0
IndiaPost: Your package delivery failed. Reschedule here. FedEx: Shipment #6445 requires urgent Duty and Taxes payment.,1
Amazon: Your package is out for delivery with agent Ravi. Flipkart: Refund of 500rs processed to your source account.,0
Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
"Hey, are we meeting today?",0
"Dear Customer, your VISA 13 digit account is blocked.",1
"Hey, are we meeting today?",0
PAN Card update required. Click link to verify KYC.,1
Customs duty pending. Click link to pay: fedex-customs-pay.com BlueDart: Address incomplete. Update here or parcel will be returned.,1
Happy birthday! Have a great year ahead.,0
BlueDart: Address incomplete. Update here or parcel will be returned. Customs duty pending. Click link to pay: www.bpoint.com.au Contact via WhatsApp.,1
Please send the files by evening. Can you call me when you are free?,0
Please send the files by evening. The meeting link is on Google Meet.,0
Kindly message me on Telegram for job details. No interview required. Direct joining. Just pay registration fee.,1
Earn 3000-5000 daily by liking YouTube videos. Hiring for back office. Send 500rs for ID card generation.,1
The meeting link is on Google Meet.,0
"Hey, are we meeting today?",0
Your order #7880 has been delivered. Flipkart: Refund of 500rs processed to your source account.,0
The meeting link is on Google Meet.,0
"Earn 3000-5000 daily by liking YouTube videos. Hello dear, do you want part time job?",1
Hiring for back office. Send 500rs for ID card generation. Contact via WhatsApp.,1
Your parcel is on hold. Pay 125rs to release. Customs duty pending. Click link to pay: delivery-fee.in,1
Customs duty pending. Click link to pay: www.bpoint.com.au FedEx: Shipment #3979 requires urgent Duty and Taxes payment.,1
Your Zomato order is picked up.,0
Earn 3000-5000 daily by liking YouTube videos. Contact via WhatsApp.,1
OTP for delivery is 4567. Do not share with anyone. Your Zomato order is picked up.,0
Flipkart: Refund of 500rs processed to your source account. Amazon: Your package is out for delivery with agent Ravi.,0
Your SBI points will expire today. Redeem now at http://fake-bank.com Contact via WhatsApp.,1
FedEx: Shipment #1424 requires urgent Duty and Taxes payment.,1
Happy birthday! Have a great year ahead.,0
No interview required. Direct joining. Just pay registration fee.,1
Customs duty pending. Click link to pay: fedex-customs-pay.com Your parcel is on hold. Pay 359rs to release.,1
"Please send the files by evening. Hey, are we meeting today?",0
Please send the files by evening. Can you call me when you are free?,0
Kindly message me on Telegram for job details.,1
