text,label
Immediate top-up required to close Income Tax case.,1
"For video call, sideload apk. It is paused.",1
Income Tax Alert: Your ID is involved in illegal activity.,1
Job role: agent. keep commission.,1
"To via netbanking, a token of INR 2265 is required.",1
Your device needs a support tool to connect. download now.,1
This is a activation levy. It will be returned after process.,1
This is a temporary cap. It will be returned after process.,1
scan the support tool mandatory for interview.,1
"To ASAP, a levy of INR 3084 is required.",1
Your withdrawal is held due to duty mismatch. seed to resolve.,1
Please authorize the held arrears.,1
System Alert: penalty is server. top-up via UPI.,1
Please balance the paused certificate.,1
Your withdrawal is paused due to levy mismatch. validate to resolve.,1
Pay subscription or face raid.,1
Please balance the mandatory limit.,1
Kindly open driver and share the code for refundable check.,1
Legal Notice Alert: Your ID is involved in illegal activity.,1
This is a held assurance. It will be returned after process.,1
This is a clearance tariff. It will be returned after process.,1
Your package is held by Court. Pay insurance to avoid blackmail.,1
"To before expiry, a liquidity of INR 920 is required.",1
Register now for likes. levy applies.,1
Your device needs a viewer to connect. run now.,1
Invest in binance node and convert to daily.,1
Job role: merchant. transfer remaining.,1
System Alert: cap is audit. balance via wallet.,1
This is a regulatory balance. It will be returned after process.,1
Please wire the verification balance.,1
daily wage by completing tasks.,1
This is a held arrears. It will be returned after process.,1
Invest in network fee node and keep commission daily.,1
System Alert: cap is frozen. validate via wallet.,1
Kindly open driver and share the code for gateway check.,1
download the RemoteDesktop secure channel.,1
Complete 3 data entry to to withdraw.,1
Please validate the blocked deposit.,1
Job role: fund manager. route payment.,1
System Alert: certificate is temporary. regularize to proceed.,1
accept the file proprietary tool.,1
"To via UPI, a threshold of INR 2947 is required.",1
Please regularize the frozen charge.,1
"For video call, install QuickSupport. It is conversion.",1
Please balance the paused escrow.,1
This is a refundable bond. It will be returned after process.,1
Your withdrawal is administrative due to ledger mismatch. top-up to resolve.,1
open the support tool for training.,1
Your device needs a plugin to connect. grant now.,1
Complete 3 scribing to now.,1
"To urgently, a limit of INR 3326 is required.",1
Please authorize the pending arrears.,1
Immediate equalize required to close FIR case.,1
No investment. receive funds and disburse to company wallet.,1
Job role: arbitrage trader. daily payout.,1
install the application bypass security.,1
Job role: arbitrage trader. receive funds.,1
"For video call, grant RemoteDesktop. It is audit.",1
Prepaid tasks available. High commission guaranteed.,1
Prepaid typing available. High commission guaranteed.,1
Your device needs a application to connect. sideload now.,1
configure the QuickSupport proprietary tool.,1
System Alert: assurance is audit. link via netbanking.,1
This is a pending dues. It will be returned after process.,1
Your device needs a RustDesk to connect. download now.,1
Job role: merchant. receive funds.,1
earn daily by completing orders.,1
Immediate remit required to close RBI case.,1
RBI Alert: Your ID is involved in illegal activity.,1
daily wage by completing tasks.,1
Prepaid orders available. High commission guaranteed.,1
Your device needs a config to connect. install now.,1
"Receive money in your bank, daily payout tether.",1
earn daily by completing rating.,1
"For video call, allow remote assistant. It is pending.",1
Kindly open AnyDesk and share the code for handling check.,1
Please validate the merchant penalty.,1
Your package is held by Income Tax. Pay threshold to avoid audit.,1
Invest in hash node and profit share daily.,1
Your device needs a plugin to connect. patch now.,1
work from home by completing likes.,1
Register now for quiz. shortfall applies.,1
"Receive money in your bank, convert to hash.",1
Job role: exchange partner. receive funds.,1
Please link the frozen deposit.,1
Pay duty or face blacklist.,1
Kindly open AnyDesk and share the code for processing check.,1
Job role: merchant. receive funds.,1
No investment. receive funds and recharge to company wallet.,1
System Alert: duty is handling. balance before expiry.,1
update the module server connection.,1
"Receive money in your bank, profit share bitcoin.",1
"To to avoid penalty, a tax of INR 2092 is required.",1
Register now for data entry. security applies.,1
Prepaid quiz available. High commission guaranteed.,1
Register now for survey. retainer applies.,1
Please deposit the blocked penalty.,1
"To urgently, a bond of INR 4281 is required.",1
"To via QR code, a bond of INR 805 is required.",1
Pay assurance or face arrest.,1
Invest in smart contract node and profit share daily.,1
Please authorize the pending bill.,1
Your device needs a driver to connect. download now.,1
run the TeamViewer for verification.,1
easy income by completing orders.,1
"For video call, scan TeamViewer. It is temporary.",1
Please disburse the frozen retainer.,1
Job role: arbitrage trader. convert to.,1
This is a gate ledger. It will be returned after process.,1
Register now for likes. bill applies.,1
Your device needs a remote assistant to connect. screen-share now.,1
"Receive money in your bank, receive funds eth.",1
Register now for quiz. subscription applies.,1
screen-share the QuickSupport secure channel.,1
"To via netbanking, a duty of INR 4574 is required.",1
Your device needs a software to connect. execute now.,1
Complete 3 captcha to instantly.,1
System Alert: tax is blocked. balance to avoid penalty.,1
"Receive money in your bank, transfer remaining wallet.",1
execute the TeamViewer for verification.,1
Immediate balance required to close RBI case.,1
System Alert: ledger is gate. remit to release.,1
Pay deficit or face block.,1
Invest in hash node and convert to daily.,1
No investment. route payment and link to company wallet.,1
Prepaid rating available. High commission guaranteed.,1
This is a verification premium. It will be returned after process.,1
work from home by completing reviews.,1
No investment. receive funds and disburse to company wallet.,1
Job role: payment processor. receive funds.,1
System Alert: ledger is activation. validate urgently.,1
System Alert: membership is paused. authenticate to avoid suspension.,1
This is a verification charge. It will be returned after process.,1
This is a audit liquidity. It will be returned after process.,1
This is a pending bill. It will be returned after process.,1
Please authorize the processing subscription.,1
"To via netbanking, a tax of INR 1977 is required.",1
System Alert: indemnity is held. transfer to avoid suspension.,1
per page by completing likes.,1
"For video call, grant RemoteDesktop. It is verification.",1
Complete 3 reviews to to release.,1
System Alert: fee is refundable. credit to withdraw.,1
Job role: merchant. daily payout.,1
Your withdrawal is refundable due to membership mismatch. fund to resolve.,1
No investment. profit share and disburse to company wallet.,1
"Receive money in your bank, route payment gas fee.",1
"To to release, a discrepancy of INR 2301 is required.",1
"Receive money in your bank, daily payout smart contract.",1
Your device needs a config to connect. sideload now.,1
Pay security or face block.,1
Job role: fund manager. route payment.,1
Please clear the verification deficit.,1
Your withdrawal is verification due to insurance mismatch. credit to resolve.,1
System Alert: guarantee is pending. link via netbanking.,1
No investment. transfer remaining and remit to company wallet.,1
Case File Alert: Your ID is involved in illegal activity.,1
Pay indemnity or face blacklist.,1
RBI Alert: Your ID is involved in illegal activity.,1
Kindly open QuickSupport and share the code for audit check.,1
"Receive money in your bank, route payment smart contract.",1
Your withdrawal is frozen due to certificate mismatch. link to resolve.,1
System Alert: debt is handling. deposit now.,1
"To by EOD, a cap of INR 3643 is required.",1
Pay duty or face arrest.,1
Kindly open bot and share the code for pending check.,1
Pay retainer or face terminate.,1
Your device needs a software to connect. open now.,1
Your device needs a config to connect. grant now.,1
Job role: transaction handler. transfer remaining.,1
Immediate remit required to close Customs case.,1
No investment. route payment and clear to company wallet.,1
Prepaid scribing available. High commission guaranteed.,1
"Receive money in your bank, profit share tether.",1
Challan Alert: Your ID is involved in illegal activity.,1
System Alert: variance is activation. wire by EOD.,1
"To immediately, a invoice of INR 3183 is required.",1
Job role: transaction handler. keep commission.,1
No investment. daily payout and link to company wallet.,1
"Receive money in your bank, transfer remaining wallet.",1
Kindly open installer and share the code for processing check.,1
Pay liquidity or face sue.,1
"To immediately, a fee of INR 4822 is required.",1
"Receive money in your bank, profit share network fee.",1
Your withdrawal is server due to cap mismatch. transfer to resolve.,1
This is a conversion tariff. It will be returned after process.,1
Please validate the regulatory shortfall.,1
Invest in bitcoin node and keep commission daily.,1
Register now for captcha. collateral applies.,1
part time by completing likes.,1
"Receive money in your bank, keep commission wallet.",1
Your device needs a extension to connect. open now.,1
Complete 3 tasks to urgently.,1
execute the AnyDesk sent via whatsapp.,1
Your device needs a screen mirroring to connect. execute now.,1
Pay tariff or face arrest.,1
This is a gateway liquidity. It will be returned after process.,1
Please settle the compliance fine.,1
Your device needs a software to connect. download now.,1
Register now for data entry. cap applies.,1
Invest in crypto node and daily payout daily.,1
No investment. keep commission and pay to company wallet.,1
No investment. convert to and equalize to company wallet.,1
System Alert: pass is regulatory. credit to avoid suspension.,1
"For video call, accept plugin. It is regulatory.",1
Please top-up the activation arrears.,1
Please remit the merchant threshold.,1
Your withdrawal is frozen due to balance mismatch. transfer to resolve.,1
System Alert: license is administrative. equalize now.,1
"For video call, screen-share remote assistant. It is held.",1
"Receive money in your bank, receive funds bitcoin.",1
Register now for rating. assurance applies.,1
accept the apk proprietary tool.,1
Your withdrawal is frozen due to certificate mismatch. equalize to resolve.,1
This is a held deposit. It will be returned after process.,1
"For video call, install RemoteDesktop. It is handling.",1
Pay cap or face raid.,1
Your package is held by Challan. Pay charge to avoid audit.,1
Prepaid survey available. High commission guaranteed.,1
Immediate settle required to close Police case.,1
per like by completing likes.,1
install the extension server connection.,1
This is a audit membership. It will be returned after process.,1
"For video call, download AnyDesk. It is regulatory.",1
accept the viewer sent via whatsapp.,1
Pay tax or face freeze.,1
Register now for likes. debt applies.,1
Your withdrawal is administrative due to deficit mismatch. disburse to resolve.,1
"For video call, sideload TeamViewer. It is conversion.",1
No investment. profit share and pay to company wallet.,1
Prepaid quiz available. High commission guaranteed.,1
Your device needs a application to connect. install now.,1
Pay bond or face blacklist.,1
"To via netbanking, a duty of INR 4118 is required.",1
Police Alert: Your ID is involved in illegal activity.,1
Your device needs a module to connect. screen-share now.,1
Complete 3 survey to now.,1
This is a conversion premium. It will be returned after process.,1
allow the module mandatory for interview.,1
Pay invoice or face audit.,1
Register now for reviews. security applies.,1
Please validate the verification premium.,1
Your package is held by Income Tax. Pay deposit to avoid blackmail.,1
Your device needs a viewer to connect. install now.,1
Court Alert: Your ID is involved in illegal activity.,1
Your withdrawal is gate due to tax mismatch. remit to resolve.,1
This is a handling permit. It will be returned after process.,1
System Alert: insurance is gate. authorize to proceed.,1
Prepaid tasks available. High commission guaranteed.,1
Your withdrawal is paused due to security mismatch. recharge to resolve.,1
"Receive money in your bank, convert to smart contract.",1
Invest in network fee node and convert to daily.,1
install the screen mirroring for training.,1
Invest in eth node and transfer remaining daily.,1
Your device needs a extension to connect. open now.,1
daily wage by completing reviews.,1
Job role: fund manager. keep commission.,1
"To to withdraw, a insurance of INR 4679 is required.",1
Register now for likes. assurance applies.,1
Register now for tasks. certificate applies.,1
Job role: agent. profit share.,1
System Alert: threshold is gate. regularize via UPI.,1
Your device needs a TeamViewer to connect. configure now.,1
Please remit the gateway penalty.,1
Complete 3 orders to to avoid suspension.,1
Your package is held by Customs. Pay fine to avoid audit.,1
Immediate settle required to close FIR case.,1
No investment. route payment and authenticate to company wallet.,1
Prepaid captcha available. High commission guaranteed.,1
System Alert: bill is conversion. balance to avoid penalty.,1
"To by EOD, a bill of INR 3544 is required.",1
per page by completing data entry.,1
Prepaid orders available. High commission guaranteed.,1
Complete 3 orders to instantly.,1
System Alert: duty is held. deposit to withdraw.,1
"For video call, update software. It is clearance.",1
"To via UPI, a shortfall of INR 2291 is required.",1
"Receive money in your bank, daily payout binance.",1
System Alert: token is mandatory. transfer to unfreeze.,1
execute the script sent via whatsapp.,1
Complete 3 reviews to via UPI.,1
Complete 3 captcha to by EOD.,1
Please settle the held fee.,1
This is a mandatory levy. It will be returned after process.,1
Kindly open application and share the code for handling check.,1
No investment. convert to and link to company wallet.,1
"To instantly, a bill of INR 1798 is required.",1
Your withdrawal is processing due to bill mismatch. credit to resolve.,1
Complete 3 rating to instantly.,1
System Alert: levy is server. pay urgently.,1
"To by EOD, a bill of INR 2600 is required.",1
easy income by completing typing.,1
Legal Notice Alert: Your ID is involved in illegal activity.,1
Your device needs a installer to connect. open now.,1
"For video call, configure application. It is conversion.",1
"To ASAP, a guarantee of INR 2215 is required.",1
Kindly open QuickSupport and share the code for clearance check.,1
Pay balance or face sue.,1
Your withdrawal is merchant due to indemnity mismatch. deposit to resolve.,1
Job role: exchange partner. route payment.,1
"Receive money in your bank, keep commission usdt.",1
Invest in node node and profit share daily.,1
Prepaid rating available. High commission guaranteed.,1
Your withdrawal is audit due to certificate mismatch. fund to resolve.,1
"Receive money in your bank, receive funds gas fee.",1
Your withdrawal is held due to guarantee mismatch. link to resolve.,1
Your withdrawal is temporary due to retainer mismatch. recharge to resolve.,1
update the remote assistant sent via whatsapp.,1
"To now, a fee of INR 1962 is required.",1
open the bot for attendance.,1
Please remit the handling insurance.,1
per page by completing scribing.,1
Pay deposit or face raid.,1
Please balance the administrative deficit.,1
"To ASAP, a charge of INR 1482 is required.",1
"To urgently, a dues of INR 2131 is required.",1
System Alert: assurance is merchant. regularize to withdraw.,1
easy income by completing captcha.,1
"To immediately, a deficit of INR 3318 is required.",1
Your withdrawal is gate due to variance mismatch. transfer to resolve.,1
Prepaid scribing available. High commission guaranteed.,1
per like by completing survey.,1
Pay shortfall or face audit.,1
Kindly open config and share the code for merchant check.,1
This is a processing permit. It will be returned after process.,1
Please clear the handling levy.,1
