text,label
Hiring for Acupuncturist. health insurance given. Apply now at naidu-mittal.org.,0
Hiring for Bonds trader. free recruitment. Apply now at keer.com.,0
pay for laptop.,1
money for uniform.,1
Urgent hiring for Estate manager/land agent. buy joining kit. Contact +910492486603.,1
pay for laptop.,1
Hiring for Marine scientist. health insurance given. Apply now at ghose-divan.com.,0
Hiring for Claims inspector/assessor. walk in interview. Apply now at bail.com.,0
Urgent hiring for Maintenance engineer. complete task and earn. Contact 00796852658.,1
"Urgent hiring for Producer, television/film/video. pay for id card. Contact 06042192050.",1
Hiring for IT sales professional. company payroll. Apply now at peri.com.,0
Hiring for Warden/ranger. company payroll. Apply now at sawhney.com.,0
Hiring for Medical laboratory scientific officer. health insurance given. Apply now at hari-aurora.com.,0
Hiring for Company secretary. pf and esic provided. Apply now at chatterjee.com.,0
Urgent hiring for Health and safety adviser. security deposit refundable. Contact +918900733377.,1
Hiring for Dispensing optician. health insurance given. Apply now at palla-bakshi.com.,0
Urgent hiring for Community development worker. pay for gate pass. Contact 05783086293.,1
Hiring for Forensic psychologist. health insurance given. Apply now at madan-tak.org.,0
Hiring for Advice worker. pf and esic provided. Apply now at basak.net.,0
Hiring for Therapeutic radiographer. cab facility available. Apply now at bahri.com.,0
send money.,1
Hiring for Volunteer coordinator. walk in interview. Apply now at bhatti.info.,0
"Hiring for Investment banker, corporate. salary credited monthly. Apply now at lalla-kothari.net.",0
money for uniform.,1
Hiring for Comptroller. company payroll. Apply now at tata-sandhu.com.,0
Hiring for Brewing technologist. laptop provided by company. Apply now at randhawa.org.,0
registration charges apply.,1
Hiring for General practice doctor. company payroll. Apply now at murthy-nath.com.,0
"Hiring for Surveyor, insurance. salary credited monthly. Apply now at sahota-murty.com.",0
Urgent hiring for Health physicist. scan qr code for salary. Contact 01807924749.,1
Urgent hiring for Art therapist. pay for laptop. Contact 07910868524.,1
Hiring for Environmental health practitioner. face to face round. Apply now at sha-cherian.com.,0
"Urgent hiring for Research officer, political party. send money. Contact 6795528467.",1
Hiring for Pathologist. face to face round. Apply now at wali-bhardwaj.org.,0
