text,label
"Please share your updated resume.
The role is for a Java Developer.
We offer health insurance and PF benefits.
There are no charges for recruitment.",0
"Hi, I am Manya from Prabhakar, Iyengar and Sura.
We reviewed your profile on Naukri.com.
Are you available for a Zoom interview tomorrow?
Please share your updated resume.",0
"To enter the gate, you need a visitor pass.
Pay 500rs for the gate pass generation.
It is 100% refundable after the interview.
Scan this QR code to pay for the ID card.",1
"Dear Candidate, your interview is scheduled at Dora, Majumdar and Balasubramanian.
Location: Mahindra Tech Park, Gate 4.
To enter the gate, you need a visitor pass.
Pay 500rs for the gate pass generation.",1
"Pay 1000rs security deposit to get 2000rs back instantly.
This is a prepaid task merchant task.
If you don't pay, your wallet will be frozen.",1
"Hello, I am Ryan from Digital Marketing.
We have a part-time job. Just like YouTube videos and earn.
Can I send you details?
Okay, first task: Like this video and send screenshot.",1
"We have a part-time job. Just like YouTube videos and earn.
Can I send you details?
Okay, first task: Like this video and send screenshot.
Great! You earned 150rs. Send your UPI.",1
"Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.
Happy birthday! Have a great year.",0
"Transfer 50,000rs to the RBI safe account immediately.
Do not disconnect or we will issue an arrest warrant.
Skype verification is mandatory.",1
"We offer health insurance and PF benefits.
There are no charges for recruitment.
Good luck with your round 1.",0
"Dear Candidate, your interview is scheduled at Choudhry-Raval.
Location: Mahindra Tech Park, Gate 4.
To enter the gate, you need a visitor pass.
Pay 500rs for the gate pass generation.",1
"Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.
Happy birthday! Have a great year.
Let's meet at the cafe at 5 PM.",0
"Hey bro, where are you?
Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.",0
"Hey bro, where are you?
Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.",0
"Pay 500rs for the gate pass generation.
It is 100% refundable after the interview.
Scan this QR code to pay for the ID card.
Without the pass, security will not allow you.",1
"Location: Mahindra Tech Park, Gate 4.
To enter the gate, you need a visitor pass.
Pay 500rs for the gate pass generation.
It is 100% refundable after the interview.",1
"Please share your updated resume.
The role is for a Java Developer.
We offer health insurance and PF benefits.
There are no charges for recruitment.",0
"We offer health insurance and PF benefits.
There are no charges for recruitment.
Good luck with your round 1.",0
"Can you UPI me 50rs for tea? I forgot my wallet.
Happy birthday! Have a great year.
Let's meet at the cafe at 5 PM.",0
"We are transferring this call to Mumbai Police.
You must pay a refundable verification fee to clear your name.
Transfer 50,000rs to the RBI safe account immediately.
Do not disconnect or we will issue an arrest warrant.",1
"To enter the gate, you need a visitor pass.
Pay 500rs for the gate pass generation.
It is 100% refundable after the interview.
Scan this QR code to pay for the ID card.",1
"Hey bro, where are you?
Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.",0
"I live in London but my family is from Mumbai.
I make $5000 a day trading USDT.
Do you want me to teach you?
Download this specific trading app.",1
"Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.
Happy birthday! Have a great year.",0
"Hey bro, where are you?
Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.",0
"Please share your updated resume.
The role is for a Java Developer.
We offer health insurance and PF benefits.
There are no charges for recruitment.",0
"Hi, I am Faqid from Naik-Dash.
We reviewed your profile on Naukri.com.
Are you available for a Zoom interview tomorrow?
Please share your updated resume.",0
"Can I send you details?
Okay, first task: Like this video and send screenshot.
Great! You earned 150rs. Send your UPI.
Now for the next task, you need to join our Premium Group.",1
"We offer health insurance and PF benefits.
There are no charges for recruitment.
Good luck with your round 1.",0
"Did you watch the cricket match yesterday?
Send me the photos from the trip.
Can you UPI me 50rs for tea? I forgot my wallet.
Happy birthday! Have a great year.",0
